import time: self [us] | cumulative | imported package
import time:      1267 |       1267 | winreg
import time:      3174 |       3174 |   _io
import time:       912 |        912 |   marshal
import time:      1598 |       1598 |   nt
import time:      5741 |      11424 | _frozen_importlib_external
import time:      5420 |       5420 |   time
import time:      2371 |       7791 | zipimport
import time:       449 |        449 |     _codecs
import time:      3809 |       4258 |   codecs
import time:     10906 |      10906 |   encodings.aliases
import time:     15978 |      31141 | encodings
import time:      7123 |       7123 | encodings.utf_8
import time:       476 |        476 | _signal
import time:       278 |        278 |     _abc
import time:      7950 |       8227 |   abc
import time:      2618 |      10845 | io
import time:      1879 |       1879 |       _stat
import time:       982 |       2860 |     stat
import time:      8483 |       8483 |     _collections_abc
import time:       382 |        382 |       genericpath
import time:      1392 |       1392 |       _winapi
import time:      1699 |       3472 |     ntpath
import time:      2640 |      17454 |   os
import time:       959 |        959 |   _sitebuiltins
import time:      9669 |       9669 |   encodings.utf_8_sig
import time:      6945 |       6945 |     __future__
import time:      8029 |       8029 |         warnings
import time:     10642 |      18671 |       importlib
import time:       584 |      19255 |     importlib.machinery
import time:      8700 |       8700 |       importlib._abc
import time:      6844 |       6844 |       types
import time:      3827 |      19370 |     importlib.util
import time:      1521 |       1521 |     itertools
import time:      2290 |       2290 |           posix
import time:       846 |       3136 |         posixpath
import time:      1544 |       1544 |               _operator
import time:     10948 |      12492 |             operator
import time:      5641 |       5641 |                 keyword
import time:      9094 |       9094 |                 reprlib
import time:      1389 |       1389 |                 _collections
import time:     12933 |      29055 |               collections
import time:       562 |        562 |               _functools
import time:     10697 |      40314 |             functools
import time:     19441 |      72246 |           enum
import time:      1019 |       1019 |             _sre
import time:      6705 |       6705 |               re._constants
import time:      9038 |      15743 |             re._parser
import time:      5559 |       5559 |             re._casefix
import time:     10296 |      32615 |           re._compiler
import time:      6821 |       6821 |           copyreg
import time:     11244 |     122925 |         re
import time:      9416 |     135476 |       fnmatch
import time:       718 |        718 |       errno
import time:      8017 |       8017 |         urllib
import time:       681 |        681 |         math
import time:     17090 |      17090 |         ipaddress
import time:     20569 |      46357 |       urllib.parse
import time:     14518 |     197068 |     pathlib
import time:     27046 |     271203 |   __editable___cli_1_0_0_finder
import time:      9477 |       9477 |   __editable___project_name_0_1_0_finder
import time:     11902 |      11902 |   __editable___unified_ai_cli_1_1_0_finder
import time:      8455 |       8455 |   _distutils_hack
import time:      6477 |       6477 |     pywin32_system32
import time:     14636 |      21112 |   pywin32_bootstrap
import time:      3064 |       3064 |   sitecustomize
import time:      3531 |       3531 |   usercustomize
import time:     63746 |     420568 | site
import time:      7229 |       7229 |     src
import time:      7743 |      14972 |   src.services
import time:     14705 |      14705 |     _uuid
import time:      8866 |      23570 |   uuid
import time:       571 |        571 |       _bisect
import time:      5348 |       5919 |     bisect
import time:       427 |        427 |     _random
import time:       427 |        427 |     _sha2
import time:     10934 |      17706 |   random
import time:      6968 |       6968 |       collections.abc
import time:      5826 |       5826 |         concurrent
import time:      6529 |       6529 |                   token
import time:       494 |        494 |                   _tokenize
import time:     12636 |      19658 |                 tokenize
import time:     10032 |      29690 |               linecache
import time:     14235 |      14235 |               textwrap
import time:     17222 |      17222 |               contextlib
import time:     11027 |      72172 |             traceback
import time:      7688 |       7688 |               _weakrefset
import time:     10215 |      17903 |             weakref
import time:       489 |        489 |               _string
import time:     10226 |      10715 |             string
import time:     15545 |      15545 |             threading
import time:       480 |        480 |             atexit
import time:     31083 |     147896 |           logging
import time:     12626 |     160521 |         concurrent.futures._base
import time:      8162 |     174508 |       concurrent.futures
import time:       705 |        705 |         _heapq
import time:     10750 |      11455 |       heapq
import time:     23194 |      23194 |         _socket
import time:      7336 |       7336 |           select
import time:      7470 |      14805 |         selectors
import time:     18193 |      56191 |       socket
import time:       636 |        636 |           _locale
import time:     11281 |      11917 |         locale
import time:      8203 |       8203 |         signal
import time:      3508 |       3508 |         fcntl
import time:       476 |        476 |         msvcrt
import time:     14062 |      38164 |       subprocess
import time:     43421 |      43421 |         _ssl
import time:      1836 |       1836 |             _struct
import time:      6214 |       8049 |           struct
import time:       581 |        581 |           binascii
import time:      8433 |      17063 |         base64
import time:     30300 |      90783 |       ssl
import time:      6158 |       6158 |       asyncio.constants
import time:     19601 |      19601 |             _ast
import time:     19959 |      39560 |           ast
import time:       568 |        568 |               _opcode
import time:      9334 |       9901 |             opcode
import time:     22326 |      32227 |           dis
import time:     36735 |     108521 |         inspect
import time:      8737 |     117257 |       asyncio.coroutines
import time:       371 |        371 |           _contextvars
import time:      4863 |       5233 |         contextvars
import time:      6232 |       6232 |         asyncio.format_helpers
import time:      4890 |       4890 |           asyncio.base_futures
import time:      5753 |       5753 |           asyncio.exceptions
import time:      4593 |       4593 |           asyncio.base_tasks
import time:      8229 |      23465 |         _asyncio
import time:     11136 |      46064 |       asyncio.events
import time:      7670 |       7670 |       asyncio.futures
import time:      6468 |       6468 |       asyncio.protocols
import time:     24346 |      24346 |         asyncio.transports
import time:     31492 |      31492 |         asyncio.log
import time:     18387 |      74225 |       asyncio.sslproto
import time:     14492 |      14492 |           asyncio.mixins
import time:     26323 |      40815 |         asyncio.locks
import time:       561 |        561 |               _typing
import time:     86274 |      86835 |             typing
import time:     21527 |     108361 |           asyncio.timeouts
import time:      7644 |     116004 |         asyncio.tasks
import time:     16748 |     173566 |       asyncio.staggered
import time:      8099 |       8099 |       asyncio.trsock
import time:     15625 |     833194 |     asyncio.base_events
import time:      9415 |       9415 |     asyncio.runners
import time:      7062 |       7062 |     asyncio.queues
import time:      9190 |       9190 |     asyncio.streams
import time:      8092 |       8092 |     asyncio.subprocess
import time:      6128 |       6128 |     asyncio.taskgroups
import time:      9268 |       9268 |     asyncio.threads
import time:     13450 |      13450 |       _overlapped
import time:      5565 |       5565 |       asyncio.base_subprocess
import time:      9677 |       9677 |       asyncio.proactor_events
import time:     11127 |      11127 |       asyncio.selector_events
import time:      1406 |       1406 |             zlib
import time:      9452 |       9452 |               _compression
import time:      7296 |       7296 |               _bz2
import time:      8944 |      25692 |             bz2
import time:      9059 |       9059 |               _lzma
import time:     10372 |      19430 |             lzma
import time:     11874 |      58401 |           shutil
import time:      8096 |      66496 |         tempfile
import time:      6651 |      73147 |       asyncio.windows_utils
import time:     10179 |     123142 |     asyncio.windows_events
import time:      8947 |    1014434 |   asyncio
import time:      5656 |       5656 |     httpx.__version__
import time:      1767 |       1767 |           _datetime
import time:      5359 |       7126 |         datetime
import time:     11804 |      11804 |             _hashlib
import time:       647 |        647 |             _blake2
import time:      9327 |      21777 |           hashlib
import time:      5813 |       5813 |             email
import time:     16471 |      16471 |               http
import time:      7337 |       7337 |                   email.errors
import time:      6297 |       6297 |                       email.quoprimime
import time:      7016 |       7016 |                       email.base64mime
import time:      9077 |       9077 |                           quopri
import time:      5949 |      15026 |                         email.encoders
import time:      5647 |      20672 |                       email.charset
import time:     10072 |      44056 |                     email.header
import time:     15156 |      15156 |                         calendar
import time:      9097 |      24252 |                       email._parseaddr
import time:     12767 |      37019 |                     email.utils
import time:     11182 |      92256 |                   email._policybase
import time:     10541 |     110133 |                 email.feedparser
import time:      9779 |     119912 |               email.parser
import time:      8612 |       8612 |                 email._encoded_words
import time:      7041 |       7041 |                 email.iterators
import time:     10720 |      26371 |               email.message
import time:     19649 |     182401 |             http.client
import time:      5313 |       5313 |               urllib.response
import time:      7406 |      12719 |             urllib.error
import time:      5539 |       5539 |             nturl2path
import time:     24629 |     231099 |           urllib.request
import time:      8981 |       8981 |           httpx._exceptions
import time:       666 |        666 |                   _json
import time:      9859 |      10525 |                 json.scanner
import time:      8988 |      19513 |               json.decoder
import time:      7772 |       7772 |               json.encoder
import time:      7484 |      34768 |             json
import time:     10017 |      10017 |               copy
import time:     30025 |      40042 |             http.cookiejar
import time:      6832 |       6832 |                 mimetypes
import time:     16608 |      16608 |                 httpx._types
import time:      7594 |       7594 |                 httpx._utils
import time:     10401 |      41434 |               httpx._multipart
import time:      6776 |      48210 |             httpx._content
import time:      4927 |       4927 |               brotli
import time:      6199 |       6199 |               brotlicffi
import time:     30717 |      30717 |                   _wmi
import time:     10418 |      41135 |                 platform
import time:     11970 |      11970 |                 zstandard.backend_c
import time:     10898 |      64002 |               zstandard
import time:      7271 |      82398 |             httpx._decoders
import time:     11900 |      11900 |             httpx._status_codes
import time:      5594 |       5594 |                   unicodedata
import time:     10064 |      10064 |                   idna.idnadata
import time:      4813 |       4813 |                   idna.intranges
import time:     12604 |      33073 |                 idna.core
import time:      5467 |       5467 |                 idna.package_data
import time:      7514 |      46053 |               idna
import time:     17952 |      17952 |               httpx._urlparse
import time:      7914 |      71919 |             httpx._urls
import time:     11290 |     300523 |           httpx._models
import time:      9695 |     572073 |         httpx._auth
import time:      6940 |       6940 |         httpx._config
import time:      7184 |       7184 |               httpx._transports.base
import time:      8480 |      15663 |             httpx._transports.asgi
import time:     11876 |      11876 |             httpx._transports.default
import time:      5976 |       5976 |             httpx._transports.mock
import time:      7237 |       7237 |             httpx._transports.wsgi
import time:      6678 |      47429 |           httpx._transports
import time:       453 |      47881 |         httpx._transports.base
import time:     11188 |     645206 |       httpx._client
import time:      5249 |     650454 |     httpx._api
import time:     13124 |      13124 |           gettext
import time:     16705 |      16705 |                   _ctypes
import time:      6769 |       6769 |                   ctypes._endian
import time:     15006 |      38479 |                 ctypes
import time:     10103 |      10103 |                 ctypes.wintypes
import time:     26242 |      74823 |               click._winconsole
import time:     20306 |      95129 |             click._compat
import time:      6190 |       6190 |               click.globals
import time:     10008 |      10008 |               click.utils
import time:     11363 |      27560 |             click.exceptions
import time:     12039 |     134727 |           click.types
import time:      8207 |       8207 |             click.parser
import time:      7278 |      15485 |           click.formatting
import time:     17078 |      17078 |           click.termui
import time:     29914 |     210325 |         click.core
import time:     13258 |      13258 |         click.decorators
import time:      9262 |     232844 |       click
import time:      9599 |       9599 |         pygments
import time:     21966 |      21966 |         pygments.lexers._mapping
import time:      7213 |       7213 |         pygments.modeline
import time:      2013 |       2013 |               _csv
import time:      7803 |       9815 |             csv
import time:      7351 |       7351 |                 zipfile._path.glob
import time:     12863 |      20213 |               zipfile._path
import time:     12574 |      32787 |             zipfile
import time:      5843 |       5843 |                 importlib.metadata._functools
import time:      5963 |      11806 |               importlib.metadata._text
import time:      9255 |      21060 |             importlib.metadata._adapters
import time:      7596 |       7596 |             importlib.metadata._meta
import time:      9270 |       9270 |             importlib.metadata._collections
import time:      5493 |       5493 |             importlib.metadata._itertools
import time:      8557 |       8557 |                   importlib.resources.abc
import time:      7337 |       7337 |                   importlib.resources._adapters
import time:     14633 |      30526 |                 importlib.resources._common
import time:      9630 |       9630 |                 importlib.resources._legacy
import time:      8429 |      48585 |               importlib.resources
import time:      7125 |      55709 |             importlib.abc
import time:     19382 |     161109 |           importlib.metadata
import time:      6019 |     167127 |         pygments.plugin
import time:     12208 |      12208 |         pygments.util
import time:      9750 |     227861 |       pygments.lexers
import time:     10350 |      10350 |           rich._extension
import time:      8648 |      18998 |         rich
import time:     11009 |      11009 |         dataclasses
import time:      4021 |       4021 |           termios
import time:      6360 |      10380 |         getpass
import time:     25385 |      25385 |           html.entities
import time:      8890 |      34275 |         html
import time:      6563 |       6563 |         rich._null_file
import time:      6430 |       6430 |         rich.errors
import time:      7600 |       7600 |                 _compat_pickle
import time:      1183 |       1183 |                 _pickle
import time:     21771 |      30553 |               pickle
import time:      7722 |       7722 |                 colorsys
import time:      8102 |       8102 |                     rich.color_triplet
import time:      9127 |      17229 |                   rich.palette
import time:      6716 |      23944 |                 rich._palettes
import time:      7238 |       7238 |                 rich.repr
import time:      8144 |       8144 |                 rich.terminal_theme
import time:     13727 |      60773 |               rich.color
import time:     16968 |     108293 |             rich.style
import time:      8607 |     116900 |           rich.default_styles
import time:     17568 |      17568 |             configparser
import time:      6136 |      23703 |           rich.theme
import time:      6392 |     146994 |         rich.themes
import time:     20964 |      20964 |           rich._emoji_codes
import time:      7503 |      28467 |         rich._emoji_replace
import time:      8563 |       8563 |         rich._export_format
import time:      6845 |       6845 |         rich._fileno
import time:      8077 |       8077 |             rich._loop
import time:      5202 |       5202 |             rich._pick
import time:      7145 |       7145 |                   rich._unicode_data._versions
import time:      7268 |      14413 |                 rich._unicode_data
import time:     10755 |      25167 |               rich.cells
import time:      6664 |      31830 |             rich._wrap
import time:     17845 |      17845 |                   rich.segment
import time:      6189 |      24033 |                 rich.jupyter
import time:      7461 |       7461 |                   rich.protocol
import time:      8493 |      15954 |                 rich.measure
import time:      6620 |      46606 |               rich.constrain
import time:      7324 |      53930 |             rich.align
import time:      8168 |       8168 |             rich.containers
import time:      8467 |       8467 |             rich.control
import time:      7101 |       7101 |             rich.emoji
import time:     18143 |     140915 |           rich.text
import time:      7480 |     148394 |         rich._log_render
import time:      6440 |       6440 |         rich.highlighter
import time:     11226 |      11226 |         rich.markup
import time:      5589 |       5589 |         rich.pager
import time:      1035 |       1035 |           array
import time:      5423 |       5423 |               attr._compat
import time:      8477 |       8477 |                 attr._config
import time:      7315 |       7315 |                   attr.exceptions
import time:      8298 |      15613 |                 attr.setters
import time:     37469 |      61558 |               attr._make
import time:      8725 |      75704 |             attr.converters
import time:      8873 |       8873 |             attr.filters
import time:     57267 |      57267 |             attr.validators
import time:      5684 |       5684 |             attr._cmp
import time:      6499 |       6499 |             attr._funcs
import time:      5073 |       5073 |             attr._next_gen
import time:     13093 |      13093 |             attr._version_info
import time:     10798 |     182988 |           attr
import time:      4573 |       4573 |           rich.abc
import time:     23634 |     212228 |         rich.pretty
import time:      8304 |       8304 |         rich.region
import time:     10119 |      10119 |             rich.box
import time:     10255 |      10255 |             rich.padding
import time:      8297 |      28669 |           rich.panel
import time:      8494 |       8494 |                     numbers
import time:     12217 |      20711 |                   _decimal
import time:      7614 |      28325 |                 decimal
import time:     12976 |      41300 |               fractions
import time:      8842 |      50142 |             rich._ratio
import time:     32782 |      82923 |           rich.table
import time:      6471 |     118061 |         rich.scope
import time:      6595 |       6595 |         rich.screen
import time:      5617 |       5617 |         rich.styled
import time:     30205 |     831174 |       rich.console
import time:       824 |        824 |         mmap
import time:      6309 |       6309 |         rich.filesize
import time:     11238 |      11238 |             rich.ansi
import time:      8759 |      19997 |           rich.file_proxy
import time:      8774 |       8774 |           rich.live_render
import time:      8006 |      36776 |         rich.live
import time:      7163 |       7163 |         rich.progress_bar
import time:      7347 |       7347 |           rich._spinners
import time:      7727 |      15074 |         rich.spinner
import time:     23912 |      90057 |       rich.progress
import time:      7973 |       7973 |           pygments.filter
import time:      7223 |       7223 |             pygments.token
import time:      9465 |      16688 |           pygments.filters
import time:      9525 |       9525 |           pygments.regexopt
import time:     13027 |      47210 |         pygments.lexer
import time:      8932 |       8932 |         pygments.style
import time:      9386 |       9386 |           pygments.styles._mapping
import time:      6508 |      15894 |         pygments.styles
import time:     11537 |      83572 |       rich.syntax
import time:     10643 |    1476149 |     httpx._main
import time:      5827 |    2138085 |   httpx
import time:     16779 |      16779 |       dotenv.parser
import time:      8279 |       8279 |       dotenv.variables
import time:     10200 |      35257 |     dotenv.main
import time:      9441 |      44698 |   dotenv
import time:      3668 |       3668 |     pwd
import time:     13266 |      13266 |     psutil._common
import time:     56779 |      56779 |     psutil._ntuples
import time:     30415 |      30415 |       psutil._psutil_windows
import time:     20565 |      50979 |     psutil._pswindows
import time:     18240 |     142930 |   psutil
import time:      6571 |       6571 |     starlette
import time:      7838 |       7838 |     starlette.status
import time:      7682 |       7682 |         annotated_doc.main
import time:      8452 |      16133 |       annotated_doc
import time:     24628 |      24628 |                       typing_extensions
import time:      8325 |       8325 |                       pydantic_core._pydantic_core
import time:    175845 |     175845 |                       pydantic_core.core_schema
import time:     13748 |     222545 |                     pydantic_core
import time:      9385 |     231929 |                   pydantic.version
import time:      7751 |     239680 |                 pydantic.warnings
import time:     10234 |     249914 |               pydantic._migration
import time:      9391 |       9391 |                   typing_inspection
import time:     22778 |      22778 |                   typing_inspection.typing_objects
import time:     14645 |      46813 |                 typing_inspection.introspection
import time:      7534 |       7534 |                 pydantic._internal
import time:     10445 |      10445 |                     pydantic._internal._namespace_utils
import time:      8034 |      18479 |                   pydantic._internal._typing_extra
import time:     12660 |      31138 |                 pydantic._internal._repr
import time:     11080 |      96564 |               pydantic.errors
import time:      9507 |     355984 |             pydantic
import time:      6783 |       6783 |                 pydantic._internal._internal_dataclass
import time:     16365 |      23147 |               pydantic.aliases
import time:     21363 |      21363 |               pydantic.config
import time:      6442 |      50951 |             pydantic._internal._config
import time:     10333 |      10333 |               pydantic._internal._core_utils
import time:      6010 |       6010 |                 pydantic._internal._import_utils
import time:     13184 |      19193 |               pydantic._internal._utils
import time:     50431 |      79956 |             pydantic._internal._decorators
import time:     10099 |      10099 |                 pydantic._internal._forward_ref
import time:      9516 |      19615 |               pydantic._internal._generics
import time:      7163 |       7163 |               pydantic._internal._docs_extraction
import time:      7306 |      34084 |             pydantic._internal._fields
import time:     17799 |      17799 |                 pydantic.plugin
import time:     10117 |      27915 |               pydantic.plugin._schema_validator
import time:      7210 |      35125 |             pydantic._internal._mock_val_ser
import time:     15926 |      15926 |                     sysconfig
import time:     12921 |      28847 |                   zoneinfo._tzpath
import time:      6836 |       6836 |                   zoneinfo._common
import time:      6063 |       6063 |                   _zoneinfo
import time:     11691 |      53435 |                 zoneinfo
import time:      6993 |       6993 |                 pydantic.annotated_handlers
import time:     53874 |      53874 |                 pydantic.functional_validators
import time:      6870 |       6870 |                   pydantic._internal._core_metadata
import time:     29301 |      29301 |                   pydantic._internal._schema_generation_shared
import time:     24932 |      61103 |                 pydantic.json_schema
import time:      8769 |       8769 |                 pydantic._internal._discriminated_union
import time:      8115 |       8115 |                 pydantic._internal._known_annotated_metadata
import time:     25121 |      25121 |                 pydantic._internal._schema_gather
import time:     19062 |     236469 |               pydantic._internal._generate_schema
import time:     20300 |      20300 |               pydantic._internal._signature
import time:      9545 |     266313 |             pydantic._internal._model_construction
import time:     14851 |      14851 |             starlette.exceptions
import time:    116618 |     116618 |               annotated_types
import time:     14423 |      14423 |               pydantic._internal._validators
import time:    100986 |     100986 |               pydantic.types
import time:     34513 |     266539 |             pydantic.fields
import time:     11884 |      11884 |             pydantic.plugin._loader
import time:    944075 |    2059757 |           fastapi.exceptions
import time:      9252 |       9252 |             fastapi.openapi
import time:     10577 |      10577 |                 fastapi.types
import time:     15825 |      15825 |                   shlex
import time:      7284 |       7284 |                           anyio._core
import time:     15228 |      22512 |                         anyio._core._compat
import time:      6627 |       6627 |                             sniffio._version
import time:      6974 |       6974 |                             sniffio._impl
import time:     16788 |      30388 |                           sniffio
import time:     11333 |      41720 |                         anyio._core._eventloop
import time:     16180 |      16180 |                         anyio._core._exceptions
import time:      7146 |       7146 |                               anyio.abc._resources
import time:      8029 |       8029 |                                   anyio.abc._tasks
import time:      9182 |      17211 |                                 anyio._core._tasks
import time:     15285 |      15285 |                                 anyio._core._typedattr
import time:     27037 |      27037 |                                 anyio.abc._streams
import time:     11868 |      71401 |                               anyio.abc._sockets
import time:     17029 |      17029 |                               anyio.abc._subprocesses
import time:     19039 |      19039 |                               anyio.abc._testing
import time:     35553 |      35553 |                                 anyio.lowlevel
import time:      9237 |       9237 |                                 anyio._core._testing
import time:    106940 |     151729 |                               anyio._core._synchronization
import time:      6111 |       6111 |                                     _queue
import time:     14617 |      20727 |                                   queue
import time:     34040 |      54767 |                                 concurrent.futures.thread
import time:     16749 |      71515 |                               anyio.from_thread
import time:     11322 |     349178 |                             anyio.abc
import time:      8651 |     357829 |                           anyio.to_thread
import time:     22194 |     380023 |                         anyio._core._fileio
import time:      7605 |       7605 |                         anyio._core._resources
import time:     22860 |      22860 |                         anyio._core._signals
import time:    217816 |     217816 |                             anyio.streams
import time:     22922 |     240738 |                           anyio.streams.stapled
import time:     17386 |      17386 |                           anyio.streams.tls
import time:     48700 |     306823 |                         anyio._core._sockets
import time:     32148 |      32148 |                           anyio.streams.memory
import time:     14485 |      46632 |                         anyio._core._streams
import time:      9643 |       9643 |                         anyio._core._subprocesses
import time:     12145 |     866140 |                       anyio
import time:       460 |     866599 |                     anyio.to_thread
import time:      9736 |     876334 |                   starlette.concurrency
import time:      7712 |       7712 |                   starlette.types
import time:     30312 |     930182 |                 starlette.datastructures
import time:      8636 |     949395 |               fastapi._compat.shared
import time:     11102 |      11102 |                 fastapi.openapi.constants
import time:     28021 |      39122 |               fastapi._compat.v2
import time:     12896 |    1001413 |             fastapi._compat
import time:      7743 |       7743 |             fastapi.logger
import time:      5642 |       5642 |             email_validator
import time:   1628470 |    2652518 |           fastapi.openapi.models
import time:     38753 |    4751027 |         fastapi.params
import time:     22346 |      22346 |         fastapi.datastructures
import time:      7763 |       7763 |           fastapi.dependencies
import time:      3847 |       3847 |                 fastapi.security.base
import time:     16873 |      16873 |                   http.cookies
import time:      8900 |       8900 |                   starlette._utils
import time:      5412 |       5412 |                           python_multipart.exceptions
import time:     16863 |      22275 |                         python_multipart.decoders
import time:     38792 |      61066 |                       python_multipart.multipart
import time:      8350 |      69416 |                     python_multipart
import time:     14900 |      84315 |                   starlette.formparsers
import time:      7954 |     118041 |                 starlette.requests
import time:     18746 |     140633 |               fastapi.security.api_key
import time:     11801 |      11801 |                 fastapi.security.utils
import time:     17624 |      29424 |               fastapi.security.http
import time:     25409 |      25409 |                 fastapi.param_functions
import time:     17155 |      42563 |               fastapi.security.oauth2
import time:     10416 |      10416 |               fastapi.security.open_id_connect_url
import time:     12987 |     236022 |             fastapi.security
import time:       689 |     236710 |           fastapi.security.base
import time:     23090 |     267562 |         fastapi.dependencies.models
import time:      7353 |       7353 |             starlette.background
import time:      8496 |      15848 |           fastapi.background
import time:     13728 |      13728 |           fastapi.concurrency
import time:      9345 |       9345 |           fastapi.utils
import time:     11964 |      11964 |               hmac
import time:      4380 |      16344 |             secrets
import time:      9773 |      26117 |           starlette.responses
import time:     16779 |      16779 |           starlette.websockets
import time:     21992 |     103807 |         fastapi.dependencies.utils
import time:     14495 |      14495 |           pydantic.color
import time:      6479 |      20973 |         fastapi.encoders
import time:      7104 |       7104 |           starlette._exception_handler
import time:     12172 |      12172 |           starlette.convertors
import time:      5363 |       5363 |           starlette.middleware
import time:     13776 |      38414 |         starlette.routing
import time:     37525 |    5241652 |       fastapi.routing
import time:     17415 |      17415 |         fastapi.websockets
import time:     17018 |      34433 |       fastapi.exception_handlers
import time:     14415 |      14415 |         fastapi.middleware
import time:     11006 |      25420 |       fastapi.middleware.asyncexitstack
import time:     14216 |      14216 |       fastapi.openapi.docs
import time:      5723 |       5723 |           ujson
import time:      9960 |       9960 |             orjson.orjson
import time:     18680 |      28639 |           orjson
import time:     24602 |      58964 |         fastapi.responses
import time:     14300 |      73263 |       fastapi.openapi.utils
import time:     10019 |      10019 |         starlette.middleware.base
import time:     12976 |      12976 |         starlette.middleware.errors
import time:      9745 |       9745 |         starlette.middleware.exceptions
import time:     12169 |      44907 |       starlette.applications
import time:     33801 |    5483823 |     fastapi.applications
import time:      9590 |       9590 |     fastapi.requests
import time:     12499 |    5520320 |   fastapi
import time:     14504 |      14504 |     starlette.middleware.cors
import time:     10297 |      24801 |   fastapi.middleware.cors
import time:     50545 |      50545 |         core.action_execution_bridge
import time:    124480 |     124480 |             core.autonomous.physiological_tactile
import time:    174813 |     174813 |             core.autonomous.endocrine_system
import time:     41116 |      41116 |             core.autonomous.autonomic_nervous_system
import time:     63643 |      63643 |             core.autonomous.neuroplasticity
import time:     47032 |      47032 |             core.autonomous.emotional_blending
import time:     10589 |      10589 |             core.autonomous.state_matrix
import time:     36197 |      36197 |             core.autonomous.action_executor
import time:     34889 |      34889 |             core.autonomous.desktop_interaction
import time:     38481 |      38481 |             core.autonomous.browser_controller
import time:     36462 |      36462 |             core.autonomous.audio_system
import time:     40171 |      40171 |             core.autonomous.desktop_presence
import time:     41080 |      41080 |             core.autonomous.live2d_integration
import time:     17078 |      17078 |             core.autonomous.biological_integrator
import time:     17969 |      17969 |               core.autonomous.memory_neuroplasticity_bridge
import time:     26856 |      26856 |                 core.hsm_formula_system
